country_iso_code,fbs_item,system,proportion_est,proportion_obs,proportion
IDA,Pigmeat,extensive,0.7611766760166099,,0.7611766760166099
IDB,Pigmeat,extensive,0.654985678702551,,0.654985678702551
IDN,Pigmeat,extensive,0.20032073489075655,,0.20032073489075655
IDX,Pigmeat,extensive,0.8037182875843867,,0.8037182875843867
IND,Pigmeat,extensive,0.5155379388040858,0.77,0.77
IRL,Pigmeat,extensive,0.0008293515644653337,0.001,0.001
IRN,Pigmeat,extensive,0.11967200791616688,0.0,0.0
IRQ,Pigmeat,extensive,0.337481619597185,0.0,0.0
ISL,Pigmeat,extensive,0.004643422394195998,0.0,0.0
ISR,Pigmeat,extensive,0.008806847847519794,,0.008806847847519794
ITA,Pigmeat,extensive,0.008880017378651522,0.006,0.006
JAM,Pigmeat,extensive,0.3003994734373978,0.56,0.56
JOR,Pigmeat,extensive,0.32169879416628294,0.0,0.0
JPN,Pigmeat,extensive,0.009552125288267984,,0.009552125288267984
KAZ,Pigmeat,extensive,0.0305670291454545,,0.0305670291454545
KEN,Pigmeat,extensive,0.6812821441628143,0.56,0.56
KGZ,Pigmeat,extensive,0.6749940165514127,,0.6749940165514127
KHM,Pigmeat,extensive,0.7146675927552204,0.8,0.8
KIR,Pigmeat,extensive,0.8604169289324839,,0.8604169289324839
KNA,Pigmeat,extensive,0.029465281308220796,,0.029465281308220796
KOR,Pigmeat,extensive,0.007711962389730723,0.0,0.0
LAC,Pigmeat,extensive,0.11805414201280265,,0.11805414201280265
LAO,Pigmeat,extensive,0.4137171205796671,0.85,0.85
LBN,Pigmeat,extensive,0.16556734771741616,,0.16556734771741616
LBR,Pigmeat,extensive,0.8734643573132497,,0.8734643573132497
LBY,Pigmeat,extensive,0.04747709722890284,0.0,0.0
LCA,Pigmeat,extensive,0.1636824436627259,,0.1636824436627259
LCN,Pigmeat,extensive,0.10653948945705377,,0.10653948945705377
LDC,Pigmeat,extensive,0.8091176322934519,,0.8091176322934519
LIC,Pigmeat,extensive,0.859791241936548,,0.859791241936548
LKA,Pigmeat,extensive,0.15472322555442677,0.6,0.6
LMC,Pigmeat,extensive,0.46091263837966373,,0.46091263837966373
LMY,Pigmeat,extensive,0.24117755957188608,,0.24117755957188608
LSO,Pigmeat,extensive,0.8475062775132394,0.78,0.78
LTE,Pigmeat,extensive,0.07291726664233843,,0.07291726664233843
LTU,Pigmeat,extensive,0.010527472037356541,0.195,0.195
LUX,Pigmeat,extensive,0.0006010174043700905,0.0,0.0
LVA,Pigmeat,extensive,0.017926117338077217,0.11,0.11
MAC,Pigmeat,extensive,0.002805830343388015,,0.002805830343388015
MAR,Pigmeat,extensive,0.3981775119168223,,0.3981775119168223
MDA,Pigmeat,extensive,0.13987578188957353,,0.13987578188957353
MDG,Pigmeat,extensive,0.8726595819052138,0.55,0.55
MDV,Pigmeat,extensive,0.07024003201828825,0.0,0.0
MEA,Pigmeat,extensive,0.10647186924216516,,0.10647186924216516
MEX,Pigmeat,extensive,0.06737564059029541,0.5,0.5
MHL,Pigmeat,extensive,0.5714571485601381,,0.5714571485601381
MIC,Pigmeat,extensive,0.19915990945705003,,0.19915990945705003
MKD,Pigmeat,extensive,0.09627689457061551,,0.09627689457061551
MLI,Pigmeat,extensive,0.8542054366335754,0.6,0.6
MLT,Pigmeat,extensive,0.007519050909815036,0.0,0.0
MMR,Pigmeat,extensive,0.7409180312165468,0.9500000000000001,0.9500000000000001
MNA,Pigmeat,extensive,0.2585266661999821,,0.2585266661999821
MNE,Pigmeat,extensive,0.055748403386379895,0.7090000000000001,0.7090000000000001
MNG,Pigmeat,extensive,0.20705211136567372,,0.20705211136567372
MOZ,Pigmeat,extensive,0.8768784727341858,,0.8768784727341858
MRT,Pigmeat,extensive,0.6308333482044517,0.0,0.0
MUS,Pigmeat,extensive,0.05335241604600771,1.0,1.0
MWI,Pigmeat,extensive,0.8720909731021815,0.87,0.87
MYS,Pigmeat,extensive,0.029906862550096808,0.0,0.0
NAC,Pigmeat,extensive,0.003148645961112585,,0.003148645961112585
NAM,Pigmeat,extensive,0.32678138202387763,0.65,0.65
NER,Pigmeat,extensive,0.8774784589221898,0.65,0.65
NGA,Pigmeat,extensive,0.6654502606338614,0.91,0.91
NIC,Pigmeat,extensive,0.6007402831618012,,0.6007402831618012
NLD,Pigmeat,extensive,0.004013446405853477,0.0,0.0
NOR,Pigmeat,extensive,0.0027087612245361783,0.001,0.001
NPL,Pigmeat,extensive,0.7564786842187752,0.58,0.58
NRU,Pigmeat,extensive,0.1972444046538503,,0.1972444046538503
NZL,Pigmeat,extensive,0.008352104516513418,,0.008352104516513418
OED,Pigmeat,extensive,0.007444673584372356,,0.007444673584372356
OMN,Pigmeat,extensive,0.015058160357949366,0.0,0.0
