item_index,item,footprint,footprint_type,edible_fraction,median
Colombia,"Pigmeat, intensive",7.123707879860835,kg_co2e_bko,0.73,8.285248226856304
ESH,"Pigmeat, intensive",100.41305244931505,mg_abx_bko,0.73,273.9817128621005
Congo,"Pigmeat, intensive",3.5330272862645944,kg_co2e_bko,0.73,8.285248226856304
ERI,"Pigmeat, intensive",100.41305244931505,mg_abx_bko,0.73,273.9817128621005
Costa Rica,"Pigmeat, intensive",8.656818228284779,kg_co2e_bko,0.73,8.285248226856304
ETH,"Pigmeat, intensive",99.62713510684931,mg_abx_bko,0.73,273.9817128621005
Croatia,"Pigmeat, intensive",9.572458100257354,kg_co2e_bko,0.73,8.285248226856304
Cyprus,"Pigmeat, intensive",9.04826201123765,kg_co2e_bko,0.73,8.285248226856304
Czechia,"Pigmeat, intensive",6.043276985670102,kg_co2e_bko,0.73,8.285248226856304
ECU,"Pigmeat, intensive",503.57433713059356,mg_abx_bko,0.73,273.9817128621005
Côte d'Ivoire,"Pigmeat, intensive",9.299962313033703,kg_co2e_bko,0.73,8.285248226856304
DZA,"Pigmeat, intensive",97.32438812785388,mg_abx_bko,0.73,273.9817128621005
Democratic People's Republic of Korea,"Pigmeat, intensive",5.277899543357237,kg_co2e_bko,0.73,8.285248226856304
Denmark,"Pigmeat, intensive",6.078936532196269,kg_co2e_bko,0.73,8.285248226856304
DOM,"Pigmeat, intensive",532.0163773899544,mg_abx_bko,0.73,273.9817128621005
Dominican Republic,"Pigmeat, intensive",7.58494983428026,kg_co2e_bko,0.73,8.285248226856304
DNK,"Pigmeat, intensive",36.93753581369863,mg_abx_bko,0.73,273.9817128621005
EGY,"Pigmeat, intensive",98.26555276894977,mg_abx_bko,0.73,273.9817128621005
TJK,"Pigmeat, intensive",315.81733508310504,mg_abx_bko,0.73,273.9817128621005
Canada,"Pigmeat, intensive",5.048182266538736,kg_co2e_bko,0.73,8.285248226856304
Cameroon,"Pigmeat, intensive",5.273428652791757,kg_co2e_bko,0.73,8.285248226856304
Argentina,"Pigmeat, intensive",15.830930135895121,kg_co2e_bko,0.73,8.285248226856304
Armenia,"Pigmeat, intensive",9.074673504188066,kg_co2e_bko,0.73,8.285248226856304
GEO,"Pigmeat, intensive",275.0521050630137,mg_abx_bko,0.73,273.9817128621005
Australia,"Pigmeat, intensive",13.578971236926142,kg_co2e_bko,0.73,8.285248226856304
GBZ,"Pigmeat, intensive",273.9817128621005,mg_abx_bko,0.73,273.9817128621005
Austria,"Pigmeat, intensive",7.726320287431212,kg_co2e_bko,0.73,8.285248226856304
Barbados,"Pigmeat, intensive",6.4977124251107155,kg_co2e_bko,0.73,8.285248226856304
GBR,"Pigmeat, intensive",11.020408116894979,mg_abx_bko,0.73,273.9817128621005
Belarus,"Pigmeat, intensive",7.80915734474869,kg_co2e_bko,0.73,8.285248226856304
Belgium,"Pigmeat, intensive",9.912284427741218,kg_co2e_bko,0.73,8.285248226856304
FIN,"Pigmeat, intensive",22.73473124383562,mg_abx_bko,0.73,273.9817128621005
GAB,"Pigmeat, intensive",100.0760105497717,mg_abx_bko,0.73,273.9817128621005
Bolivia (Plurinational State of),"Pigmeat, intensive",14.197067441278488,kg_co2e_bko,0.73,8.285248226856304
Bosnia and Herzegovina,"Pigmeat, intensive",6.489222401899333,kg_co2e_bko,0.73,8.285248226856304
FRO,"Pigmeat, intensive",273.9817128621005,mg_abx_bko,0.73,273.9817128621005
Brazil,"Pigmeat, intensive",12.681011032588035,kg_co2e_bko,0.73,8.285248226856304
FRA,"Pigmeat, intensive",64.34803350136986,mg_abx_bko,0.73,273.9817128621005
Bulgaria,"Pigmeat, intensive",8.959933806896595,kg_co2e_bko,0.73,8.285248226856304
Burkina Faso,"Pigmeat, intensive",6.527791842069402,kg_co2e_bko,0.73,8.285248226856304
FLK,"Pigmeat, intensive",524.0996160182648,mg_abx_bko,0.73,273.9817128621005
FJI,"Pigmeat, intensive",659.077869656621,mg_abx_bko,0.73,273.9817128621005
Cambodia,"Pigmeat, intensive",7.3754786556309,kg_co2e_bko,0.73,8.285248226856304
Benin,"Pigmeat, intensive",40.22144391437119,kg_co2e_bko,0.73,8.285248226856304
IRN,"Pigmeat, intensive",645.801508562557,mg_abx_bko,0.73,273.9817128621005
THA,"Pigmeat, intensive",1677.8818682484018,mg_abx_bko,0.73,273.9817128621005
TGO,"Pigmeat, intensive",99.88367213333333,mg_abx_bko,0.73,273.9817128621005
NPL,"Pigmeat, intensive",640.7347466593608,mg_abx_bko,0.73,273.9817128621005
NRU,"Pigmeat, intensive",645.801508562557,mg_abx_bko,0.73,273.9817128621005
MDA,"Pigmeat, intensive",352.2168445442922,mg_abx_bko,0.73,273.9817128621005
NZL,"Pigmeat, intensive",34.81105813150685,mg_abx_bko,0.73,273.9817128621005
MCO,"Pigmeat, intensive",273.9817128621005,mg_abx_bko,0.73,273.9817128621005
OMN,"Pigmeat, intensive",213.2171339105023,mg_abx_bko,0.73,273.9817128621005
PAK,"Pigmeat, intensive",645.801508562557,mg_abx_bko,0.73,273.9817128621005
MAR,"Pigmeat, intensive",97.8552829954338,mg_abx_bko,0.73,273.9817128621005
PAN,"Pigmeat, intensive",524.0996160182648,mg_abx_bko,0.73,273.9817128621005
MAC,"Pigmeat, intensive",645.801508562557,mg_abx_bko,0.73,273.9817128621005
MDG,"Pigmeat, intensive",100.89944800365296,mg_abx_bko,0.73,273.9817128621005
PER,"Pigmeat, intensive",527.0006256876712,mg_abx_bko,0.73,273.9817128621005
LVA,"Pigmeat, intensive",52.466269157990865,mg_abx_bko,0.73,273.9817128621005
PLW,"Pigmeat, intensive",645.801508562557,mg_abx_bko,0.73,273.9817128621005
LUX,"Pigmeat, intensive",37.26166597990868,mg_abx_bko,0.73,273.9817128621005
PNG,"Pigmeat, intensive",651.3694895360729,mg_abx_bko,0.73,273.9817128621005
POL,"Pigmeat, intensive",244.54528636712328,mg_abx_bko,0.73,273.9817128621005
LTU,"Pigmeat, intensive",31.805213216438354,mg_abx_bko,0.73,273.9817128621005
PRI,"Pigmeat, intensive",524.0996160182648,mg_abx_bko,0.73,273.9817128621005
