country_code,country,diet,fbs_item_code,fbs_item,output_group,type,kg/cap/yr_by_coo,%_from_coo
2,Afghanistan,eat_lancet,2601,Tomatoes and products,Vegetables,plant,5.216193150268172,1.0
2,Afghanistan,eat_lancet,2602,Onions,Vegetables,plant,12.237495829887305,1.0
2,Afghanistan,eat_lancet,2605,"Vegetables, Other",Vegetables,plant,116.44433443182623,1.0
2,Afghanistan,eat_lancet,2611,"Oranges, Mandarines",Fruits,plant,8.026773462465249,0.9999999999999999
2,Afghanistan,eat_lancet,2612,"Lemons, Limes and products",Fruits,plant,0.05581900877931321,1.0000000000000002
2,Afghanistan,eat_lancet,2613,Grapefruit and products,Fruits,plant,0.0502371079013819,1.0
2,Afghanistan,eat_lancet,2614,"Citrus, Other",Fruits,plant,3.8264356685690446,1.0
2,Afghanistan,eat_lancet,2615,Bananas,Fruits,plant,6.39127650523137,1.0
2,Afghanistan,eat_lancet,2616,Plantains,Fruits,plant,0.0725647114131072,1.0
2,Afghanistan,eat_lancet,2617,Apples and products,Fruits,plant,11.409145058036428,1.0
2,Afghanistan,eat_lancet,2618,Pineapples and products,Fruits,plant,0.0558190087793132,1.0
2,Afghanistan,eat_lancet,2619,Dates,Fruits,plant,1.0828887703186774,1.0
2,Afghanistan,eat_lancet,2620,Grapes and products (excl wine),Fruits,plant,41.272480585985015,1.0
2,Afghanistan,eat_lancet,2625,"Fruits, Other",Fruits,plant,15.92799445393791,1.0
2,Afghanistan,eat_lancet,2731,Bovine Meat,Bovine meat,t_animal,3.159930982568061,1.0
2,Afghanistan,eat_lancet,2732,Mutton & Goat Meat,Sheep and goat meat,t_animal,4.746918542702242,1.0
2,Afghanistan,eat_lancet,2733,Pigmeat,Pig meat,t_animal,0.0087138150172509,1.0
2,Afghanistan,eat_lancet,2734,Poultry Meat,Poultry,t_animal,11.99754542685357,1.0
2,Afghanistan,eat_lancet,2744,Eggs,Eggs,t_animal,4.896649226546133,1.0
2,Afghanistan,eat_lancet,2745,Honey,Sugars,plant,0.0317417491749174,1.0
2,Afghanistan,eat_lancet,2761,Freshwater Fish,Aquatic animals,a_animal,12.980349123127883,1.0
2,Afghanistan,eat_lancet,2805,Rice (Milled Equivalent),Grains,plant,8.634804149753492,1.0
2,Afghanistan,eat_lancet,2848,Milk - Excluding Butter,Dairy,t_animal,109.89470462319404,1.0
2,Afghanistan,high_income,2511,Wheat and products,Grains,plant,91.8300205962428,0.9999999999999999
2,Afghanistan,high_income,2513,Barley and products,Grains,plant,4.37676559658718,1.0
2,Afghanistan,high_income,2514,Maize and products,Grains,plant,11.65009823745334,1.0
2,Afghanistan,high_income,2515,Rye and products,Grains,plant,3.6389641761747176,1.0
2,Afghanistan,high_income,2516,Oats,Grains,plant,2.358456163669725,0.9999999999999999
2,Afghanistan,high_income,2517,Millet and products,Grains,plant,0.028580084893613196,0.9999999999999999
2,Afghanistan,high_income,2518,Sorghum and products,Grains,plant,0.2326999075612893,1.0
2,Afghanistan,high_income,2520,"Cereals, Other",Grains,plant,1.7076052172790073,0.9999999999999999
2,Afghanistan,high_income,2531,Potatoes and products,Starchy roots,plant,48.917216794681,1.0
2,Afghanistan,high_income,2532,Cassava and products,Starchy roots,plant,0.4096698113207547,1.0
2,Afghanistan,high_income,2533,Sweet potatoes,Starchy roots,plant,1.2509955578813212,1.0
2,Afghanistan,high_income,2534,"Roots, Other",Starchy roots,plant,0.9087471205363535,0.9999999999999999
2,Afghanistan,high_income,2535,Yams,Starchy roots,plant,0.2100341626613891,1.0
2,Afghanistan,high_income,2536,Sugar cane,Sugars,plant,2.585758600433775,1.0
2,Afghanistan,high_income,2537,Sugar beet,Sugars,plant,4.110265724260315,1.0
2,Afghanistan,high_income,2541,Sugar non-centrifugal,Sugars,plant,0.014,1.0
2,Afghanistan,high_income,2542,Sugar (Raw Equivalent),Sugars,plant,31.87731132075472,1.0
2,Afghanistan,high_income,2543,"Sweeteners, Other",Sugars,plant,21.134433962264154,1.0
2,Afghanistan,high_income,2546,Beans,Pulses and soy,plant,1.1064769115364728,1.0
2,Afghanistan,high_income,2547,Peas,Pulses and soy,plant,1.0926086124069907,1.0
2,Afghanistan,high_income,2549,"Pulses, Other and products",Pulses and soy,plant,2.0247941634667987,1.0
