item_index,item,footprint,footprint_type,edible_fraction,median,n
Cabo Verde,"Sheep
& goat

N=226",137.8517380334839,abx,0.71,484.2695171751262,226
Comoros,"Sheep
& goat

N=176",36.89564731067159,kg_co2e,0.71,35.46472316692549,176
Burundi,"Sheep
& goat

N=176",39.98452233376934,kg_co2e,0.71,35.46472316692549,176
United Arab Emirates,"Sheep
& goat

N=176",24.71688524872696,kg_co2e,0.71,35.46472316692549,176
Armenia,"Sheep
& goat

N=226",484.2695171751262,abx,0.71,484.2695171751262,226
Venezuela (Bolivarian Republic of),"Sheep
& goat

N=176",52.02966590750461,kg_co2e,0.71,35.46472316692549,176
Argentina,"Sheep
& goat

N=226",1094.9164067605634,abx,0.71,484.2695171751262,226
Bolivia (Plurinational State of),"Sheep
& goat

N=176",38.434020889675296,kg_co2e,0.71,35.46472316692549,176
Viet Nam,"Sheep
& goat

N=176",50.56792473413311,kg_co2e,0.71,35.46472316692549,176
Azerbaijan,"Sheep
& goat

N=176",49.445308247522114,kg_co2e,0.71,35.46472316692549,176
Antigua and Barbuda,"Sheep
& goat

N=226",1094.9164067605634,abx,0.71,484.2695171751262,226
