country_code,country,origin,diet,type,output_group,fbs_item_code,fbs_item,footprint_type,region,income_class,oecd,diet_footprint,population,diet_footprint_whole_pop
3,Albania,domestic,baseline,plant,Fruits,2620,Grapes and products (excl wine),mg_abx_total,Europe,Upper middle income,no,0.1703400405550397,2883500.0,0.000491175506940457
3,Albania,domestic,baseline,plant,Fruits,2625,"Fruits, Other",mg_abx_total,Europe,Upper middle income,no,5.16263544239461e-05,2883500.0,1.488645929814487e-07
3,Albania,domestic,baseline,plant,Grains,2511,Wheat and products,mg_abx_total,Europe,Upper middle income,no,0.0,2883500.0,0.0
3,Albania,domestic,baseline,plant,Grains,2513,Barley and products,mg_abx_total,Europe,Upper middle income,no,9.487546473696e-07,2883500.0,2.7357340256904374e-09
3,Albania,domestic,baseline,plant,Grains,2514,Maize and products,mg_abx_total,Europe,Upper middle income,no,0.0,2883500.0,0.0
3,Albania,domestic,baseline,plant,Grains,2515,Rye and products,mg_abx_total,Europe,Upper middle income,no,2.9399120357448e-06,2883500.0,8.47723635507038e-09
3,Albania,domestic,baseline,plant,Grains,2516,Oats,mg_abx_total,Europe,Upper middle income,no,2.7346252407554997e-06,2883500.0,7.885291881718678e-09
3,Albania,domestic,baseline,plant,Nuts and seeds,2551,Nuts and products,mg_abx_total,Europe,Upper middle income,no,0.011567002002886977,2883500.0,3.335345027532459e-05
3,Albania,domestic,baseline,plant,Pulses and soy,2546,Beans,mg_abx_total,Europe,Upper middle income,no,6.6991572895529e-06,2883500.0,1.9317020044425932e-08
3,Albania,domestic,baseline,plant,Pulses and soy,2549,"Pulses, Other and products",mg_abx_total,Europe,Upper middle income,no,2.419805910014e-07,2883500.0,6.977510341527719e-10
3,Albania,domestic,baseline,plant,Starchy roots,2531,Potatoes and products,mg_abx_total,Europe,Upper middle income,no,4.7591310295325105e-05,2883500.0,1.3722954323657006e-07
3,Albania,domestic,baseline,plant,Sugars,2537,Sugar beet,mg_abx_total,Europe,Upper middle income,no,2.1822838687191e-06,2883500.0,6.292615535451524e-09
3,Albania,domestic,baseline,plant,Vegetables,2563,Olives (including preserved),mg_abx_total,Europe,Upper middle income,no,0.026578382813930247,2883500.0,7.663876684396788e-05
3,Albania,domestic,baseline,plant,Vegetables,2601,Tomatoes and products,mg_abx_total,Europe,Upper middle income,no,7.58821766639459e-05,2883500.0,2.1880625641048824e-07
3,Albania,domestic,baseline,plant,Vegetables,2602,Onions,mg_abx_total,Europe,Upper middle income,no,3.4539148563714e-05,2883500.0,9.959363488346936e-08
3,Albania,domestic,baseline,plant,Vegetables,2605,"Vegetables, Other",mg_abx_total,Europe,Upper middle income,no,0.0002100813470764869,2883500.0,6.057695642950502e-07
3,Albania,domestic,baseline,t_animal,Bovine meat,2731,Bovine Meat,mg_abx_total,Europe,Upper middle income,no,1.7957082044075814,2883500.0,0.0051779246074092605
3,Albania,domestic,baseline,t_animal,Pig meat,2733,Pigmeat,mg_abx_total,Europe,Upper middle income,no,0.675640387316851,2883500.0,0.00194820905682814
3,Albania,domestic,baseline,t_animal,Poultry,2734,Poultry Meat,mg_abx_total,Europe,Upper middle income,no,0.14497614059997352,2883500.0,0.0004180387014200236
3,Albania,domestic,baseline,t_animal,Sheep and goat meat,2732,Mutton & Goat Meat,mg_abx_total,Europe,Upper middle income,no,3.2492216348410015,2883500.0,0.009369130584064028
3,Albania,imported,baseline,a_animal,Aquatic animals,2761,Freshwater Fish,mg_abx_total,Europe,Upper middle income,no,0.005574516148082855,2883500.0,1.607411731299691e-05
3,Albania,imported,baseline,a_animal,Aquatic animals,2762,Demersal Fish,mg_abx_total,Europe,Upper middle income,no,0.010626308356472684,2883500.0,3.064096014588898e-05
3,Albania,imported,baseline,a_animal,Aquatic animals,2763,Pelagic Fish,mg_abx_total,Europe,Upper middle income,no,0.009310864010335288,2883500.0,2.68478763738018e-05
3,Albania,imported,baseline,a_animal,Aquatic animals,2764,"Marine Fish, Other",mg_abx_total,Europe,Upper middle income,no,0.00690896588398343,2883500.0,1.9922003126466225e-05
3,Albania,imported,baseline,a_animal,Aquatic animals,2765,Crustaceans,mg_abx_total,Europe,Upper middle income,no,0.004822159326359279,2883500.0,1.3904696417556982e-05
3,Albania,imported,baseline,plant,Fruits,2611,"Oranges, Mandarines",mg_abx_total,Europe,Upper middle income,no,0.0004304092863369921,2883500.0,1.2410851771527168e-06
3,Albania,imported,baseline,plant,Fruits,2612,"Lemons, Limes and products",mg_abx_total,Europe,Upper middle income,no,0.002719786382822385,2883500.0,7.842504034868346e-06
3,Albania,imported,baseline,plant,Fruits,2613,Grapefruit and products,mg_abx_total,Europe,Upper middle income,no,5.5005655930484196e-05,2883500.0,1.5860880887555133e-07
3,Albania,imported,baseline,plant,Fruits,2614,"Citrus, Other",mg_abx_total,Europe,Upper middle income,no,0.0,2883500.0,0.0
3,Albania,imported,baseline,plant,Fruits,2617,Apples and products,mg_abx_total,Europe,Upper middle income,no,6.97807600684672e-05,2883500.0,2.012128216574253e-07
3,Albania,imported,baseline,plant,Fruits,2618,Pineapples and products,mg_abx_total,Europe,Upper middle income,no,2.2712406046042662e-08,2883500.0,6.549122283376401e-11
3,Albania,imported,baseline,plant,Fruits,2620,Grapes and products (excl wine),mg_abx_total,Europe,Upper middle income,no,0.0027059510048736647,2883500.0,7.802609722553214e-06
3,Albania,imported,baseline,plant,Fruits,2625,"Fruits, Other",mg_abx_total,Europe,Upper middle income,no,4.905412511881e-07,2883500.0,1.4144756978010712e-09
3,Albania,imported,baseline,plant,Grains,2511,Wheat and products,mg_abx_total,Europe,Upper middle income,no,0.0,2883500.0,0.0
3,Albania,imported,baseline,plant,Grains,2513,Barley and products,mg_abx_total,Europe,Upper middle income,no,4.467311876205e-07,2883500.0,1.2881493795037368e-09
3,Albania,imported,baseline,plant,Grains,2514,Maize and products,mg_abx_total,Europe,Upper middle income,no,0.0,2883500.0,0.0
3,Albania,imported,baseline,plant,Grains,2516,Oats,mg_abx_total,Europe,Upper middle income,no,1.0278089341957937e-08,2883500.0,2.96368706175357e-11
3,Albania,imported,baseline,plant,Grains,2805,Rice (Milled Equivalent),mg_abx_total,Europe,Upper middle income,no,0.004614757076826047,2883500.0,1.3306652031027906e-05
3,Albania,imported,baseline,plant,Nuts and seeds,2551,Nuts and products,mg_abx_total,Europe,Upper middle income,no,0.0004445149647645223,2883500.0,1.2817589008985e-06
3,Albania,imported,baseline,plant,Nuts and seeds,2556,Groundnuts (Shelled Eq),mg_abx_total,Europe,Upper middle income,no,6.898873333887e-07,2883500.0,1.989290125826411e-09
3,Albania,imported,baseline,plant,Pulses and soy,2546,Beans,mg_abx_total,Europe,Upper middle income,no,4.716721092782e-07,2883500.0,1.360066527103776e-09
3,Albania,imported,baseline,plant,Pulses and soy,2549,"Pulses, Other and products",mg_abx_total,Europe,Upper middle income,no,5.263487514103408e-08,2883500.0,1.5177266246917176e-10
3,Albania,imported,baseline,plant,Starchy roots,2531,Potatoes and products,mg_abx_total,Europe,Upper middle income,no,1.8606589151755e-06,2883500.0,5.365209981908683e-09
3,Albania,imported,baseline,plant,Starchy roots,2533,Sweet potatoes,mg_abx_total,Europe,Upper middle income,no,2.0426933006618164e-09,2883500.0,5.890106132458347e-12
3,Albania,imported,baseline,plant,Vegetables,2563,Olives (including preserved),mg_abx_total,Europe,Upper middle income,no,2.6216362698724e-06,2883500.0,7.559488184177256e-09
3,Albania,imported,baseline,plant,Vegetables,2601,Tomatoes and products,mg_abx_total,Europe,Upper middle income,no,4.020538285733e-07,2883500.0,1.1593222146912144e-09
3,Albania,imported,baseline,plant,Vegetables,2602,Onions,mg_abx_total,Europe,Upper middle income,no,1.4413097190206999e-06,2883500.0,4.156016574796328e-09
3,Albania,imported,baseline,plant,Vegetables,2605,"Vegetables, Other",mg_abx_total,Europe,Upper middle income,no,8.062429358238e-07,2883500.0,2.3248015054480077e-09
3,Albania,imported,baseline,t_animal,Bovine meat,2731,Bovine Meat,mg_abx_total,Europe,Upper middle income,no,0.025869522956418593,2883500.0,7.459476944483301e-05
3,Albania,imported,baseline,t_animal,Pig meat,2733,Pigmeat,mg_abx_total,Europe,Upper middle income,no,0.4531675952626032,2883500.0,0.0013067087609397164
